# GENERATED by ./gradlew :conformance-icu:updateLedger. Reviewed by hand.
# icu=release-78.3  cldr=release-48-2
#
# Every row is a case where this library and ICU disagree and the
# disagreement is expected. A new one fails the build; a row that stops
# reproducing fails too. An ICU version bump regenerates this file, and
# the diff is the point rather than a nuisance.
#
# domain	locale	case	ours	icu	divergence	note
collation-order	ar	order	ﹷ at 2	ﹰ at 2	NOT_IMPLEMENTED	uses last, which this build does not read; see docs/boundaries.md
collation-order	ar-001	order	ﹷ at 2	ﹰ at 2	NOT_IMPLEMENTED	uses last, which this build does not read; see docs/boundaries.md
collation-order	ar-AE	order	ﹷ at 2	ﹰ at 2	NOT_IMPLEMENTED	uses last, which this build does not read; see docs/boundaries.md
collation-order	ar-BH	order	ﹷ at 2	ﹰ at 2	NOT_IMPLEMENTED	uses last, which this build does not read; see docs/boundaries.md
collation-order	ar-DJ	order	ﹷ at 2	ﹰ at 2	NOT_IMPLEMENTED	uses last, which this build does not read; see docs/boundaries.md
collation-order	ar-DZ	order	ﹷ at 2	ﹰ at 2	NOT_IMPLEMENTED	uses last, which this build does not read; see docs/boundaries.md
collation-order	ar-EG	order	ﹷ at 2	ﹰ at 2	NOT_IMPLEMENTED	uses last, which this build does not read; see docs/boundaries.md
collation-order	ar-EH	order	ﹷ at 2	ﹰ at 2	NOT_IMPLEMENTED	uses last, which this build does not read; see docs/boundaries.md
collation-order	ar-ER	order	ﹷ at 2	ﹰ at 2	NOT_IMPLEMENTED	uses last, which this build does not read; see docs/boundaries.md
collation-order	ar-IL	order	ﹷ at 2	ﹰ at 2	NOT_IMPLEMENTED	uses last, which this build does not read; see docs/boundaries.md
collation-order	ar-IQ	order	ﹷ at 2	ﹰ at 2	NOT_IMPLEMENTED	uses last, which this build does not read; see docs/boundaries.md
collation-order	ar-JO	order	ﹷ at 2	ﹰ at 2	NOT_IMPLEMENTED	uses last, which this build does not read; see docs/boundaries.md
collation-order	ar-KM	order	ﹷ at 2	ﹰ at 2	NOT_IMPLEMENTED	uses last, which this build does not read; see docs/boundaries.md
collation-order	ar-KW	order	ﹷ at 2	ﹰ at 2	NOT_IMPLEMENTED	uses last, which this build does not read; see docs/boundaries.md
collation-order	ar-LB	order	ﹷ at 2	ﹰ at 2	NOT_IMPLEMENTED	uses last, which this build does not read; see docs/boundaries.md
collation-order	ar-LY	order	ﹷ at 2	ﹰ at 2	NOT_IMPLEMENTED	uses last, which this build does not read; see docs/boundaries.md
collation-order	ar-MA	order	ﹷ at 2	ﹰ at 2	NOT_IMPLEMENTED	uses last, which this build does not read; see docs/boundaries.md
collation-order	ar-MR	order	ﹷ at 2	ﹰ at 2	NOT_IMPLEMENTED	uses last, which this build does not read; see docs/boundaries.md
collation-order	ar-OM	order	ﹷ at 2	ﹰ at 2	NOT_IMPLEMENTED	uses last, which this build does not read; see docs/boundaries.md
collation-order	ar-PS	order	ﹷ at 2	ﹰ at 2	NOT_IMPLEMENTED	uses last, which this build does not read; see docs/boundaries.md
collation-order	ar-QA	order	ﹷ at 2	ﹰ at 2	NOT_IMPLEMENTED	uses last, which this build does not read; see docs/boundaries.md
collation-order	ar-SA	order	ﹷ at 2	ﹰ at 2	NOT_IMPLEMENTED	uses last, which this build does not read; see docs/boundaries.md
collation-order	ar-SD	order	ﹷ at 2	ﹰ at 2	NOT_IMPLEMENTED	uses last, which this build does not read; see docs/boundaries.md
collation-order	ar-SO	order	ﹷ at 2	ﹰ at 2	NOT_IMPLEMENTED	uses last, which this build does not read; see docs/boundaries.md
collation-order	ar-SS	order	ﹷ at 2	ﹰ at 2	NOT_IMPLEMENTED	uses last, which this build does not read; see docs/boundaries.md
collation-order	ar-SY	order	ﹷ at 2	ﹰ at 2	NOT_IMPLEMENTED	uses last, which this build does not read; see docs/boundaries.md
collation-order	ar-TD	order	ﹷ at 2	ﹰ at 2	NOT_IMPLEMENTED	uses last, which this build does not read; see docs/boundaries.md
