# GENERATED by ./gradlew :conformance-icu:updateLedger. Reviewed by hand.
# icu=release-78.3  cldr=release-48-2
#
# Every row is a case where this library and ICU disagree and the
# disagreement is expected. A new one fails the build; a row that stops
# reproducing fails too. An ICU version bump regenerates this file, and
# the diff is the point rather than a nuisance.
#
# domain	locale	case	ours	icu	divergence	note
currency-plural-names	sr-Cyrl-ME	ADP/few	андорске пезете	andorske pezete	DEFECT	TODO: explain this divergence or reclassify it
currency-plural-names	sr-Cyrl-ME	ADP/many	андорске пезете	andorske pezete	DEFECT	TODO: explain this divergence or reclassify it
currency-plural-names	sr-Cyrl-ME	ADP/one	андорска пезета	andorska pezeta	DEFECT	TODO: explain this divergence or reclassify it
currency-plural-names	sr-Cyrl-ME	ADP/other	андорске пезете	andorske pezete	DEFECT	TODO: explain this divergence or reclassify it
currency-plural-names	sr-Cyrl-ME	ADP/two	андорске пезете	andorske pezete	DEFECT	TODO: explain this divergence or reclassify it
currency-plural-names	sr-Cyrl-ME	ADP/zero	андорске пезете	andorske pezete	DEFECT	TODO: explain this divergence or reclassify it
currency-plural-names	sr-Cyrl-ME	AED/few	дирхама УАЕ	dirhama UAE	DEFECT	TODO: explain this divergence or reclassify it
currency-plural-names	sr-Cyrl-ME	AED/many	дирхама УАЕ	dirhama UAE	DEFECT	TODO: explain this divergence or reclassify it
currency-plural-names	sr-Cyrl-ME	AED/one	дирхам УАЕ	dirham UAE	DEFECT	TODO: explain this divergence or reclassify it
currency-plural-names	sr-Cyrl-ME	AED/other	дирхама УАЕ	dirhama UAE	DEFECT	TODO: explain this divergence or reclassify it
currency-plural-names	sr-Cyrl-ME	AED/two	дирхама УАЕ	dirhama UAE	DEFECT	TODO: explain this divergence or reclassify it
currency-plural-names	sr-Cyrl-ME	AED/zero	дирхама УАЕ	dirhama UAE	DEFECT	TODO: explain this divergence or reclassify it
currency-plural-names	sr-Cyrl-ME	AFA/few	авганистанска авгана (1927–2002)	avganistanska avgana (1927–2002)	DEFECT	TODO: explain this divergence or reclassify it
currency-plural-names	sr-Cyrl-ME	AFA/many	авганистанских авгана (1927–2002)	avganistanskih avgana (1927–2002)	DEFECT	TODO: explain this divergence or reclassify it
currency-plural-names	sr-Cyrl-ME	AFA/one	aвганистански авгани (1927–2002)	avganistanski avgani (1927–2002)	DEFECT	TODO: explain this divergence or reclassify it
currency-plural-names	sr-Cyrl-ME	AFA/other	авганистанских авгана (1927–2002)	avganistanskih avgana (1927–2002)	DEFECT	TODO: explain this divergence or reclassify it
currency-plural-names	sr-Cyrl-ME	AFA/two	авганистанских авгана (1927–2002)	avganistanskih avgana (1927–2002)	DEFECT	TODO: explain this divergence or reclassify it
currency-plural-names	sr-Cyrl-ME	AFA/zero	авганистанских авгана (1927–2002)	avganistanskih avgana (1927–2002)	DEFECT	TODO: explain this divergence or reclassify it
currency-plural-names	sr-Cyrl-ME	AFN/few	авганистанска авгана	avganistanska avgana	DEFECT	TODO: explain this divergence or reclassify it
currency-plural-names	sr-Cyrl-ME	AFN/many	авганистанских авгана	avganistanskih avgana	DEFECT	TODO: explain this divergence or reclassify it
currency-plural-names	sr-Cyrl-ME	AFN/one	aвганистански авгани	avganistanski avgani	DEFECT	TODO: explain this divergence or reclassify it
currency-plural-names	sr-Cyrl-ME	AFN/other	авганистанских авгана	avganistanskih avgana	DEFECT	TODO: explain this divergence or reclassify it
currency-plural-names	sr-Cyrl-ME	AFN/two	авганистанских авгана	avganistanskih avgana	DEFECT	TODO: explain this divergence or reclassify it
currency-plural-names	sr-Cyrl-ME	AFN/zero	авганистанских авгана	avganistanskih avgana	DEFECT	TODO: explain this divergence or reclassify it
currency-plural-names	sr-Cyrl-ME	ALL/few	албанска лека	albanska leka	DEFECT	TODO: explain this divergence or reclassify it
currency-plural-names	sr-Cyrl-ME	ALL/many	албанских лека	albanskih leka	DEFECT	TODO: explain this divergence or reclassify it
currency-plural-names	sr-Cyrl-ME	ALL/one	албански лек	albanski lek	DEFECT	TODO: explain this divergence or reclassify it
currency-plural-names	sr-Cyrl-ME	ALL/other	албанских лека	albanskih leka	DEFECT	TODO: explain this divergence or reclassify it
currency-plural-names	sr-Cyrl-ME	ALL/two	албанских лека	albanskih leka	DEFECT	TODO: explain this divergence or reclassify it
