# GENERATED by ./gradlew :conformance-icu:updateLedger. Reviewed by hand.
# icu=release-78.3  cldr=release-48-2
#
# Every row is a case where this library and ICU disagree and the
# disagreement is expected. A new one fails the build; a row that stops
# reproducing fails too. An ICU version bump regenerates this file, and
# the diff is the point rather than a nuisance.
#
# domain	locale	case	ours	icu	divergence	note
datetime-patterns	es-AR	time/MEDIUM	3:30:45 p. m.	03:30:45	DELIBERATE	CLDR supplemental timeData gives each region a preferred hour cycle, and ICU applies it to the standard time patterns. This library applies it where UTS #35 defines it, which is skeleton resolution through j, and renders the pattern the locale's own chain declares. The skeleton comparison agrees with ICU across all 905 locales. See docs/boundaries.md, the hour cycle a standard time pattern uses.
datetime-patterns	haw	date/SHORT	14/3/26	14/iii/26	NOT_IMPLEMENTED	Hawaiian writes its short date as d/M/yy with numbers="M=romanlow", a per-field numbering system override that selects lowercase Roman numerals for the month alone. This library does not implement the numbers attribute, so the month renders in the locale's default digits. See ROADMAP.md, per-field numbering system overrides.
datetime-patterns	haw-US	date/SHORT	14/3/26	14/iii/26	NOT_IMPLEMENTED	Hawaiian writes its short date as d/M/yy with numbers="M=romanlow", a per-field numbering system override that selects lowercase Roman numerals for the month alone. This library does not implement the numbers attribute, so the month renders in the locale's default digits. See ROADMAP.md, per-field numbering system overrides.
datetime-patterns	ku-Latn-IQ	time/MEDIUM	15:30:45	3:30:45 PN	DELIBERATE	CLDR supplemental timeData gives each region a preferred hour cycle, and ICU applies it to the standard time patterns. This library applies it where UTS #35 defines it, which is skeleton resolution through j, and renders the pattern the locale's own chain declares. The skeleton comparison agrees with ICU across all 905 locales. See docs/boundaries.md, the hour cycle a standard time pattern uses.
datetime-patterns	ku-Latn-IQ	time/SHORT	15:30	3:30 PN	DELIBERATE	CLDR supplemental timeData gives each region a preferred hour cycle, and ICU applies it to the standard time patterns. This library applies it where UTS #35 defines it, which is skeleton resolution through j, and renders the pattern the locale's own chain declares. The skeleton comparison agrees with ICU across all 905 locales. See docs/boundaries.md, the hour cycle a standard time pattern uses.
datetime-patterns	nds	time/MEDIUM	15:30:45	Klock 15.30:45	DELIBERATE	This locale writes its own time pattern with draft="unconfirmed", which the generator skips: Xml.kt treats unconfirmed and provisional as work in progress and reads the confirmed pattern it inherits instead. ICU uses the draft value. Following CLDR's own readiness ranking is the deliberate choice here.
datetime-patterns	nds	time/SHORT	15:30	Kl. 15.30	DELIBERATE	This locale writes its own time pattern with draft="unconfirmed", which the generator skips: Xml.kt treats unconfirmed and provisional as work in progress and reads the confirmed pattern it inherits instead. ICU uses the draft value. Following CLDR's own readiness ranking is the deliberate choice here.
datetime-patterns	nds-DE	time/MEDIUM	15:30:45	Klock 15.30:45	DELIBERATE	This locale writes its own time pattern with draft="unconfirmed", which the generator skips: Xml.kt treats unconfirmed and provisional as work in progress and reads the confirmed pattern it inherits instead. ICU uses the draft value. Following CLDR's own readiness ranking is the deliberate choice here.
datetime-patterns	nds-DE	time/SHORT	15:30	Kl. 15.30	DELIBERATE	This locale writes its own time pattern with draft="unconfirmed", which the generator skips: Xml.kt treats unconfirmed and provisional as work in progress and reads the confirmed pattern it inherits instead. ICU uses the draft value. Following CLDR's own readiness ranking is the deliberate choice here.
datetime-patterns	nds-NL	time/MEDIUM	15:30:45	Klock 15.30:45	DELIBERATE	This locale writes its own time pattern with draft="unconfirmed", which the generator skips: Xml.kt treats unconfirmed and provisional as work in progress and reads the confirmed pattern it inherits instead. ICU uses the draft value. Following CLDR's own readiness ranking is the deliberate choice here.
datetime-patterns	nds-NL	time/SHORT	15:30	Kl. 15.30	DELIBERATE	This locale writes its own time pattern with draft="unconfirmed", which the generator skips: Xml.kt treats unconfirmed and provisional as work in progress and reads the confirmed pattern it inherits instead. ICU uses the draft value. Following CLDR's own readiness ranking is the deliberate choice here.
datetime-patterns	oc	time/MEDIUM	15:30:45	15h30 45 seg.	DELIBERATE	This locale writes its own time pattern with draft="unconfirmed", which the generator skips: Xml.kt treats unconfirmed and provisional as work in progress and reads the confirmed pattern it inherits instead. ICU uses the draft value. Following CLDR's own readiness ranking is the deliberate choice here.
datetime-patterns	oc	time/SHORT	15:30	15h30	DELIBERATE	This locale writes its own time pattern with draft="unconfirmed", which the generator skips: Xml.kt treats unconfirmed and provisional as work in progress and reads the confirmed pattern it inherits instead. ICU uses the draft value. Following CLDR's own readiness ranking is the deliberate choice here.
datetime-patterns	oc-ES	time/MEDIUM	15:30:45	15h30 45 seg.	DELIBERATE	This locale writes its own time pattern with draft="unconfirmed", which the generator skips: Xml.kt treats unconfirmed and provisional as work in progress and reads the confirmed pattern it inherits instead. ICU uses the draft value. Following CLDR's own readiness ranking is the deliberate choice here.
datetime-patterns	oc-ES	time/SHORT	15:30	15h30	DELIBERATE	This locale writes its own time pattern with draft="unconfirmed", which the generator skips: Xml.kt treats unconfirmed and provisional as work in progress and reads the confirmed pattern it inherits instead. ICU uses the draft value. Following CLDR's own readiness ranking is the deliberate choice here.
datetime-patterns	oc-FR	time/MEDIUM	15:30:45	15h30 45 seg.	DELIBERATE	This locale writes its own time pattern with draft="unconfirmed", which the generator skips: Xml.kt treats unconfirmed and provisional as work in progress and reads the confirmed pattern it inherits instead. ICU uses the draft value. Following CLDR's own readiness ranking is the deliberate choice here.
datetime-patterns	oc-FR	time/SHORT	15:30	15h30	DELIBERATE	This locale writes its own time pattern with draft="unconfirmed", which the generator skips: Xml.kt treats unconfirmed and provisional as work in progress and reads the confirmed pattern it inherits instead. ICU uses the draft value. Following CLDR's own readiness ranking is the deliberate choice here.
