# GENERATED by ./gradlew :conformance-icu:updateLedger. Reviewed by hand.
# icu=release-78.3  cldr=release-48-2
#
# Every row is a case where this library and ICU disagree and the
# disagreement is expected. A new one fails the build; a row that stops
# reproducing fails too. An ICU version bump regenerates this file, and
# the diff is the point rather than a nuisance.
#
# domain	locale	case	ours	icu	divergence	note
exemplar-cities	sr-Cyrl-ME	Africa/Abidjan	Абиџан	Abidžan	DEFECT	TODO: explain this divergence or reclassify it
exemplar-cities	sr-Cyrl-ME	Africa/Accra	Акра	Akra	DEFECT	TODO: explain this divergence or reclassify it
exemplar-cities	sr-Cyrl-ME	Africa/Addis_Ababa	Адис Абеба	Adis Abeba	DEFECT	TODO: explain this divergence or reclassify it
exemplar-cities	sr-Cyrl-ME	Africa/Algiers	Алжир	Alžir	DEFECT	TODO: explain this divergence or reclassify it
exemplar-cities	sr-Cyrl-ME	Africa/Asmera	Асмера	Asmera	DEFECT	TODO: explain this divergence or reclassify it
exemplar-cities	sr-Cyrl-ME	Africa/Bamako	Бамако	Bamako	DEFECT	TODO: explain this divergence or reclassify it
exemplar-cities	sr-Cyrl-ME	Africa/Bangui	Бангуи	Bangui	DEFECT	TODO: explain this divergence or reclassify it
exemplar-cities	sr-Cyrl-ME	Africa/Banjul	Банжул	Banžul	DEFECT	TODO: explain this divergence or reclassify it
exemplar-cities	sr-Cyrl-ME	Africa/Bissau	Бисао	Bisao	DEFECT	TODO: explain this divergence or reclassify it
exemplar-cities	sr-Cyrl-ME	Africa/Blantyre	Блантир	Blantir	DEFECT	TODO: explain this divergence or reclassify it
exemplar-cities	sr-Cyrl-ME	Africa/Brazzaville	Бразавил	Brazavil	DEFECT	TODO: explain this divergence or reclassify it
exemplar-cities	sr-Cyrl-ME	Africa/Bujumbura	Буџумбура	Budžumbura	DEFECT	TODO: explain this divergence or reclassify it
exemplar-cities	sr-Cyrl-ME	Africa/Cairo	Каиро	Kairo	DEFECT	TODO: explain this divergence or reclassify it
exemplar-cities	sr-Cyrl-ME	Africa/Casablanca	Казабланка	Kazablanka	DEFECT	TODO: explain this divergence or reclassify it
exemplar-cities	sr-Cyrl-ME	Africa/Ceuta	Сеута	Seuta	DEFECT	TODO: explain this divergence or reclassify it
exemplar-cities	sr-Cyrl-ME	Africa/Conakry	Конакри	Konakri	DEFECT	TODO: explain this divergence or reclassify it
exemplar-cities	sr-Cyrl-ME	Africa/Dakar	Дакар	Dakar	DEFECT	TODO: explain this divergence or reclassify it
exemplar-cities	sr-Cyrl-ME	Africa/Dar_es_Salaam	Дар-ес-Салам	Dar-es-Salam	DEFECT	TODO: explain this divergence or reclassify it
exemplar-cities	sr-Cyrl-ME	Africa/Djibouti	Џибути	Džibuti	DEFECT	TODO: explain this divergence or reclassify it
exemplar-cities	sr-Cyrl-ME	Africa/Douala	Дуала	Duala	DEFECT	TODO: explain this divergence or reclassify it
exemplar-cities	sr-Cyrl-ME	Africa/El_Aaiun	Ел Ајун	El Ajun	DEFECT	TODO: explain this divergence or reclassify it
exemplar-cities	sr-Cyrl-ME	Africa/Freetown	Фритаун	Fritaun	DEFECT	TODO: explain this divergence or reclassify it
exemplar-cities	sr-Cyrl-ME	Africa/Gaborone	Габорон	Gaboron	DEFECT	TODO: explain this divergence or reclassify it
exemplar-cities	sr-Cyrl-ME	Africa/Harare	Хараре	Harare	DEFECT	TODO: explain this divergence or reclassify it
exemplar-cities	sr-Cyrl-ME	Africa/Johannesburg	Јоханесбург	Johanesburg	DEFECT	TODO: explain this divergence or reclassify it
exemplar-cities	sr-Cyrl-ME	Africa/Juba	Џуба	Džuba	DEFECT	TODO: explain this divergence or reclassify it
exemplar-cities	sr-Cyrl-ME	Africa/Kampala	Кампала	Kampala	DEFECT	TODO: explain this divergence or reclassify it
exemplar-cities	sr-Cyrl-ME	Africa/Khartoum	Картум	Kartum	DEFECT	TODO: explain this divergence or reclassify it
exemplar-cities	sr-Cyrl-ME	Africa/Kigali	Кигали	Kigali	DEFECT	TODO: explain this divergence or reclassify it
exemplar-cities	sr-Cyrl-ME	Africa/Kinshasa	Киншаса	Kinšasa	DEFECT	TODO: explain this divergence or reclassify it
exemplar-cities	sr-Cyrl-ME	Africa/Lagos	Лагос	Lagos	DEFECT	TODO: explain this divergence or reclassify it
exemplar-cities	sr-Cyrl-ME	Africa/Libreville	Либревил	Librevil	DEFECT	TODO: explain this divergence or reclassify it
exemplar-cities	sr-Cyrl-ME	Africa/Lome	Ломе	Lome	DEFECT	TODO: explain this divergence or reclassify it
exemplar-cities	sr-Cyrl-ME	Africa/Luanda	Луанда	Luanda	DEFECT	TODO: explain this divergence or reclassify it
exemplar-cities	sr-Cyrl-ME	Africa/Lubumbashi	Лубумбаши	Lubumbaši	DEFECT	TODO: explain this divergence or reclassify it
exemplar-cities	sr-Cyrl-ME	Africa/Lusaka	Лусака	Lusaka	DEFECT	TODO: explain this divergence or reclassify it
exemplar-cities	sr-Cyrl-ME	Africa/Malabo	Малабо	Malabo	DEFECT	TODO: explain this divergence or reclassify it
exemplar-cities	sr-Cyrl-ME	Africa/Maputo	Мапуто	Maputo	DEFECT	TODO: explain this divergence or reclassify it
exemplar-cities	sr-Cyrl-ME	Africa/Maseru	Масеру	Maseru	DEFECT	TODO: explain this divergence or reclassify it
exemplar-cities	sr-Cyrl-ME	Africa/Mbabane	Мбабане	Mbabane	DEFECT	TODO: explain this divergence or reclassify it
exemplar-cities	sr-Cyrl-ME	Africa/Mogadishu	Могадиш	Mogadiš	DEFECT	TODO: explain this divergence or reclassify it
exemplar-cities	sr-Cyrl-ME	Africa/Monrovia	Монровија	Monrovija	DEFECT	TODO: explain this divergence or reclassify it
exemplar-cities	sr-Cyrl-ME	Africa/Nairobi	Најроби	Najrobi	DEFECT	TODO: explain this divergence or reclassify it
exemplar-cities	sr-Cyrl-ME	Africa/Ndjamena	Нџамена	Ndžamena	DEFECT	TODO: explain this divergence or reclassify it
exemplar-cities	sr-Cyrl-ME	Africa/Niamey	Нијамеј	Nijamej	DEFECT	TODO: explain this divergence or reclassify it
exemplar-cities	sr-Cyrl-ME	Africa/Nouakchott	Нуакшот	Nuakšot	DEFECT	TODO: explain this divergence or reclassify it
exemplar-cities	sr-Cyrl-ME	Africa/Ouagadougou	Уагадугу	Uagadugu	DEFECT	TODO: explain this divergence or reclassify it
exemplar-cities	sr-Cyrl-ME	Africa/Porto-Novo	Порто Ново	Porto Novo	DEFECT	TODO: explain this divergence or reclassify it
exemplar-cities	sr-Cyrl-ME	Africa/Sao_Tome	Сао Томе	Sao Tome	DEFECT	TODO: explain this divergence or reclassify it
exemplar-cities	sr-Cyrl-ME	Africa/Tripoli	Триполи	Tripoli	DEFECT	TODO: explain this divergence or reclassify it
exemplar-cities	sr-Cyrl-ME	Africa/Tunis	Тунис	Tunis	DEFECT	TODO: explain this divergence or reclassify it
exemplar-cities	sr-Cyrl-ME	Africa/Windhoek	Виндхук	Vindhuk	DEFECT	TODO: explain this divergence or reclassify it
exemplar-cities	sr-Cyrl-ME	America/Adak	Адак	Adak	DEFECT	TODO: explain this divergence or reclassify it
exemplar-cities	sr-Cyrl-ME	America/Anchorage	Енкориџ	Enkoridž	DEFECT	TODO: explain this divergence or reclassify it
exemplar-cities	sr-Cyrl-ME	America/Anguilla	Ангвила	Angvila	DEFECT	TODO: explain this divergence or reclassify it
exemplar-cities	sr-Cyrl-ME	America/Antigua	Антигва	Antigva	DEFECT	TODO: explain this divergence or reclassify it
exemplar-cities	sr-Cyrl-ME	America/Araguaina	Арагвајана	Aragvajana	DEFECT	TODO: explain this divergence or reclassify it
exemplar-cities	sr-Cyrl-ME	America/Argentina/La_Rioja	Ла Риоха	La Rioha	DEFECT	TODO: explain this divergence or reclassify it
exemplar-cities	sr-Cyrl-ME	America/Argentina/Rio_Gallegos	Рио Гаљегос	Rio Galjegos	DEFECT	TODO: explain this divergence or reclassify it
exemplar-cities	sr-Cyrl-ME	America/Argentina/Salta	Салта	Salta	DEFECT	TODO: explain this divergence or reclassify it
exemplar-cities	sr-Cyrl-ME	America/Argentina/San_Juan	Сан Хуан	San Huan	DEFECT	TODO: explain this divergence or reclassify it
exemplar-cities	sr-Cyrl-ME	America/Argentina/San_Luis	Сан Луи	San Lui	DEFECT	TODO: explain this divergence or reclassify it
exemplar-cities	sr-Cyrl-ME	America/Argentina/Tucuman	Тукуман	Tukuman	DEFECT	TODO: explain this divergence or reclassify it
