# GENERATED by ./gradlew :conformance-icu:updateLedger. Reviewed by hand.
# icu=release-78.3  cldr=release-48-2
#
# Every row is a case where this library and ICU disagree and the
# disagreement is expected. A new one fails the build; a row that stops
# reproducing fails too. An ICU version bump regenerates this file, and
# the diff is the point rather than a nuisance.
#
# domain	locale	case	ours	icu	divergence	note
number-formats	be	decimal/1234	1234	1 234	DEFECT	TODO: explain this divergence or reclassify it
number-formats	be	decimal/1234.5	1234,5	1 234,5	DEFECT	TODO: explain this divergence or reclassify it
number-formats	be-BY	decimal/1234	1234	1 234	DEFECT	TODO: explain this divergence or reclassify it
number-formats	be-BY	decimal/1234.5	1234,5	1 234,5	DEFECT	TODO: explain this divergence or reclassify it
number-formats	bg	decimal/1234	1234	1 234	DEFECT	TODO: explain this divergence or reclassify it
number-formats	bg	decimal/1234.5	1234,5	1 234,5	DEFECT	TODO: explain this divergence or reclassify it
number-formats	bg-BG	decimal/1234	1234	1 234	DEFECT	TODO: explain this divergence or reclassify it
number-formats	bg-BG	decimal/1234.5	1234,5	1 234,5	DEFECT	TODO: explain this divergence or reclassify it
number-formats	ee	decimal/1234	1234	1,234	DEFECT	TODO: explain this divergence or reclassify it
number-formats	ee	decimal/1234.5	1234.5	1,234.5	DEFECT	TODO: explain this divergence or reclassify it
number-formats	ee	decimal/12345	12345	12,345	DEFECT	TODO: explain this divergence or reclassify it
number-formats	ee-GH	decimal/1234	1234	1,234	DEFECT	TODO: explain this divergence or reclassify it
number-formats	ee-GH	decimal/1234.5	1234.5	1,234.5	DEFECT	TODO: explain this divergence or reclassify it
number-formats	ee-GH	decimal/12345	12345	12,345	DEFECT	TODO: explain this divergence or reclassify it
number-formats	ee-TG	decimal/1234	1234	1,234	DEFECT	TODO: explain this divergence or reclassify it
number-formats	ee-TG	decimal/1234.5	1234.5	1,234.5	DEFECT	TODO: explain this divergence or reclassify it
number-formats	ee-TG	decimal/12345	12345	12,345	DEFECT	TODO: explain this divergence or reclassify it
number-formats	es	decimal/1234	1234	1.234	DEFECT	TODO: explain this divergence or reclassify it
number-formats	es	decimal/1234.5	1234,5	1.234,5	DEFECT	TODO: explain this divergence or reclassify it
number-formats	es-EA	decimal/1234	1234	1.234	DEFECT	TODO: explain this divergence or reclassify it
number-formats	es-EA	decimal/1234.5	1234,5	1.234,5	DEFECT	TODO: explain this divergence or reclassify it
number-formats	es-ES	decimal/1234	1234	1.234	DEFECT	TODO: explain this divergence or reclassify it
number-formats	es-ES	decimal/1234.5	1234,5	1.234,5	DEFECT	TODO: explain this divergence or reclassify it
number-formats	es-GQ	decimal/1234	1234	1.234	DEFECT	TODO: explain this divergence or reclassify it
number-formats	es-GQ	decimal/1234.5	1234,5	1.234,5	DEFECT	TODO: explain this divergence or reclassify it
number-formats	es-IC	decimal/1234	1234	1.234	DEFECT	TODO: explain this divergence or reclassify it
number-formats	es-IC	decimal/1234.5	1234,5	1.234,5	DEFECT	TODO: explain this divergence or reclassify it
number-formats	es-PH	decimal/1234	1234	1.234	DEFECT	TODO: explain this divergence or reclassify it
number-formats	es-PH	decimal/1234.5	1234,5	1.234,5	DEFECT	TODO: explain this divergence or reclassify it
number-formats	et	decimal/1234	1234	1 234	DEFECT	TODO: explain this divergence or reclassify it
number-formats	et	decimal/1234.5	1234,5	1 234,5	DEFECT	TODO: explain this divergence or reclassify it
number-formats	et-EE	decimal/1234	1234	1 234	DEFECT	TODO: explain this divergence or reclassify it
number-formats	et-EE	decimal/1234.5	1234,5	1 234,5	DEFECT	TODO: explain this divergence or reclassify it
number-formats	hu	decimal/1234	1234	1 234	DEFECT	TODO: explain this divergence or reclassify it
number-formats	hu	decimal/1234.5	1234,5	1 234,5	DEFECT	TODO: explain this divergence or reclassify it
number-formats	hu-HU	decimal/1234	1234	1 234	DEFECT	TODO: explain this divergence or reclassify it
number-formats	hu-HU	decimal/1234.5	1234,5	1 234,5	DEFECT	TODO: explain this divergence or reclassify it
number-formats	hy	decimal/1234	1234	1 234	DEFECT	TODO: explain this divergence or reclassify it
number-formats	hy	decimal/1234.5	1234,5	1 234,5	DEFECT	TODO: explain this divergence or reclassify it
