# GENERATED by ./gradlew :conformance-icu:updateLedger. Reviewed by hand.
# icu=release-78.3  cldr=release-48-2
#
# Every row is a case where this library and ICU disagree and the
# disagreement is expected. A new one fails the build; a row that stops
# reproducing fails too. An ICU version bump regenerates this file, and
# the diff is the point rather than a nuisance.
#
# domain	locale	case	ours	icu	divergence	note
relative-time	ak	NARROW/WEEK/-1	nnawɔtwe 1 a atwam	nnawɔtwe1 a atwam	DELIBERATE	The plural category asked for is absent at every width, so both sides fall back to count=other, and they take it from opposite ends. This library takes it from the narrowest width that has one, ICU from the widest. Akan is the case that decides it: week-narrow writes its own other with a space and the wide field writes one without, and ICU returns the wide value for a narrow request. Keeping the width that was asked for is the deliberate choice.
relative-time	ak-GH	NARROW/WEEK/-1	nnawɔtwe 1 a atwam	nnawɔtwe1 a atwam	DELIBERATE	The plural category asked for is absent at every width, so both sides fall back to count=other, and they take it from opposite ends. This library takes it from the narrowest width that has one, ICU from the widest. Akan is the case that decides it: week-narrow writes its own other with a space and the wide field writes one without, and ICU returns the wide value for a narrow request. Keeping the width that was asked for is the deliberate choice.
relative-time	cy	NARROW/MINUTE/0	ymhen 0 mun.	ymhen 0 munud	DELIBERATE	The plural category asked for is absent at every width, so both sides fall back to count=other, and they take it from opposite ends. This library takes it from the narrowest width that has one, ICU from the widest. Akan is the case that decides it: week-narrow writes its own other with a space and the wide field writes one without, and ICU returns the wide value for a narrow request. Keeping the width that was asked for is the deliberate choice.
relative-time	cy	NARROW/QUARTER/0	ymhen 0 chw.	ymhen 0 chwarter	DELIBERATE	The plural category asked for is absent at every width, so both sides fall back to count=other, and they take it from opposite ends. This library takes it from the narrowest width that has one, ICU from the widest. Akan is the case that decides it: week-narrow writes its own other with a space and the wide field writes one without, and ICU returns the wide value for a narrow request. Keeping the width that was asked for is the deliberate choice.
relative-time	cy	NARROW/QUARTER/2	ymhen 2 chw.	ymhen 2 chwarter	DELIBERATE	The plural category asked for is absent at every width, so both sides fall back to count=other, and they take it from opposite ends. This library takes it from the narrowest width that has one, ICU from the widest. Akan is the case that decides it: week-narrow writes its own other with a space and the wide field writes one without, and ICU returns the wide value for a narrow request. Keeping the width that was asked for is the deliberate choice.
relative-time	cy	NARROW/WEEK/0	ymhen 0 ws.	ymhen 0 wythnos	DELIBERATE	The plural category asked for is absent at every width, so both sides fall back to count=other, and they take it from opposite ends. This library takes it from the narrowest width that has one, ICU from the widest. Akan is the case that decides it: week-narrow writes its own other with a space and the wide field writes one without, and ICU returns the wide value for a narrow request. Keeping the width that was asked for is the deliberate choice.
relative-time	cy	SHORT/MINUTE/0	ymhen 0 mun.	ymhen 0 munud	DELIBERATE	The plural category asked for is absent at every width, so both sides fall back to count=other, and they take it from opposite ends. This library takes it from the narrowest width that has one, ICU from the widest. Akan is the case that decides it: week-narrow writes its own other with a space and the wide field writes one without, and ICU returns the wide value for a narrow request. Keeping the width that was asked for is the deliberate choice.
relative-time	cy	SHORT/QUARTER/0	ymhen 0 chw.	ymhen 0 chwarter	DELIBERATE	The plural category asked for is absent at every width, so both sides fall back to count=other, and they take it from opposite ends. This library takes it from the narrowest width that has one, ICU from the widest. Akan is the case that decides it: week-narrow writes its own other with a space and the wide field writes one without, and ICU returns the wide value for a narrow request. Keeping the width that was asked for is the deliberate choice.
relative-time	cy	SHORT/QUARTER/2	ymhen 2 chw.	ymhen 2 chwarter	DELIBERATE	The plural category asked for is absent at every width, so both sides fall back to count=other, and they take it from opposite ends. This library takes it from the narrowest width that has one, ICU from the widest. Akan is the case that decides it: week-narrow writes its own other with a space and the wide field writes one without, and ICU returns the wide value for a narrow request. Keeping the width that was asked for is the deliberate choice.
relative-time	cy	SHORT/SECOND/-2	2 eil. yn ôl	2 eiliad yn ôl	DELIBERATE	The plural category asked for is absent at every width, so both sides fall back to count=other, and they take it from opposite ends. This library takes it from the narrowest width that has one, ICU from the widest. Akan is the case that decides it: week-narrow writes its own other with a space and the wide field writes one without, and ICU returns the wide value for a narrow request. Keeping the width that was asked for is the deliberate choice.
